"Date","Week day","ON","1W","1M","2M","3M","6M","12M"
"17.07.2026","Friday","","2.124","2.210","","2.483","2.688","2.873"
"16.07.2026","Thursday","","2.148","2.212","","2.485","2.688","2.876"
"15.07.2026","Wednesday","","2.165","2.223","","2.490","2.717","2.916"
"14.07.2026","Tuesday","","2.153","2.220","","2.452","2.654","2.825"
"13.07.2026","Monday","","2.162","2.224","","2.431","2.621","2.800"
"10.07.2026","Friday","","2.168","2.270","","2.412","2.626","2.831"
"09.07.2026","Thursday","","2.152","2.259","","2.378","2.605","2.813"
"08.07.2026","Wednesday","","2.150","2.252","","2.353","2.567","2.737"
"07.07.2026","Tuesday","","2.161","2.223","","2.313","2.542","2.695"
"06.07.2026","Monday","","2.164","2.224","","2.321","2.547","2.693"
"03.07.2026","Friday","","2.153","2.205","","2.321","2.554","2.709"
"02.07.2026","Thursday","","2.168","2.211","","2.335","2.565","2.733"
"01.07.2026","Wednesday","","2.135","2.192","","2.312","2.554","2.727"
"30.06.2026","Tuesday","","2.115","2.201","","2.324","2.568","2.728"
"29.06.2026","Monday","","2.064","2.217","","2.317","2.595","2.732"
"26.06.2026","Friday","","2.089","2.179","","2.291","2.596","2.764"
"25.06.2026","Thursday","","2.073","2.209","","2.293","2.606","2.785"
"24.06.2026","Wednesday","","2.104","2.225","","2.303","2.614","2.781"
"23.06.2026","Tuesday","","2.161","2.242","","2.324","2.638","2.817"
"22.06.2026","Monday","","2.103","2.279","","2.313","2.631","2.809"
"19.06.2026","Friday","","2.082","2.278","","2.330","2.622","2.789"
"18.06.2026","Thursday","","2.066","2.285","","2.386","2.606","2.748"
"17.06.2026","Wednesday","","2.041","2.246","","2.417","2.607","2.759"
"16.06.2026","Tuesday","","2.009","2.209","","2.408","2.592","2.755"
"15.06.2026","Monday","","1.941","2.171","","2.407","2.606","2.796"
"12.06.2026","Friday","","1.928","2.167","","2.380","2.639","2.874"
"11.06.2026","Thursday","","1.889","2.129","","2.401","2.617","2.846"
"10.06.2026","Wednesday","","1.886","2.088","","2.397","2.592","2.841"
"09.06.2026","Tuesday","","1.871","2.063","","2.373","2.606","2.866"
"08.06.2026","Monday","","1.894","2.044","","2.351","2.586","2.816"
"05.06.2026","Friday","","1.903","2.009","","2.312","2.584","2.842"
"04.06.2026","Thursday","","1.910","2.009","","2.311","2.588","2.851"
"03.06.2026","Wednesday","","1.866","2.014","","2.299","2.549","2.801"
"02.06.2026","Tuesday","","1.889","1.991","","2.276","2.540","2.786"
"01.06.2026","Monday","","1.932","1.964","","2.245","2.519","2.761"
"29.05.2026","Friday","","1.941","1.983","","2.268","2.547","2.804"
"28.05.2026","Thursday","","1.930","1.942","","2.231","2.502","2.761"
"27.05.2026","Wednesday","","1.890","1.903","","2.229","2.492","2.742"
"26.05.2026","Tuesday","","1.903","1.921","","2.190","2.446","2.722"
"25.05.2026","Monday","","1.888","1.942","","2.204","2.516","2.782"
"22.05.2026","Friday","","1.867","1.953","","2.204","2.547","2.780"
"21.05.2026","Thursday","","1.872","1.950","","2.195","2.596","2.828"
"20.05.2026","Wednesday","","1.843","1.968","","2.181","2.603","2.825"
"19.05.2026","Tuesday","","1.872","1.976","","2.201","2.619","2.848"
"18.05.2026","Monday","","1.856","1.968","","2.219","2.594","2.830"
"15.05.2026","Friday","","1.879","1.949","","2.232","2.562","2.815"
"14.05.2026","Thursday","","1.878","1.957","","2.239","2.548","2.821"
"13.05.2026","Wednesday","","1.878","1.988","","2.283","2.548","2.860"
"12.05.2026","Tuesday","","1.907","1.972","","2.252","2.485","2.798"
"11.05.2026","Monday","","1.896","1.947","","2.254","2.492","2.778"
"08.05.2026","Friday","","1.916","1.967","","2.234","2.472","2.708"
"07.05.2026","Thursday","","1.912","1.974","","2.248","2.522","2.795"
"06.05.2026","Wednesday","","1.906","1.974","","2.240","2.556","2.867"
"05.05.2026","Tuesday","","1.895","1.958","","2.218","2.523","2.837"
"04.05.2026","Monday","","1.880","1.939","","2.200","2.558","2.883"
"30.04.2026","Thursday","","1.942","1.980","","2.199","2.524","2.848"
"29.04.2026","Wednesday","","1.921","1.968","","2.149","2.462","2.765"
"28.04.2026","Tuesday","","1.930","2.010","","2.150","2.443","2.731"
"27.04.2026","Monday","","1.868","2.000","","2.170","2.465","2.763"
"24.04.2026","Friday","","1.915","1.968","","2.163","2.459","2.735"
"23.04.2026","Thursday","","1.922","1.968","","2.165","2.427","2.687"
"22.04.2026","Wednesday","","1.904","1.936","","2.161","2.385","2.640"
"21.04.2026","Tuesday","","1.922","1.982","","2.168","2.381","2.655"
"20.04.2026","Monday","","1.875","1.995","","2.194","2.416","2.702"
"17.04.2026","Friday","","1.914","1.996","","2.204","2.415","2.685"
"16.04.2026","Thursday","","1.882","2.004","","2.238","2.453","2.723"
"15.04.2026","Wednesday","","1.895","1.998","","2.240","2.468","2.756"
"14.04.2026","Tuesday","","1.902","1.992","","2.243","2.475","2.767"
"13.04.2026","Monday","","1.900","2.003","","2.204","2.437","2.708"
"10.04.2026","Friday","","1.918","1.998","","2.198","2.453","2.715"
"09.04.2026","Thursday","","1.914","1.962","","2.150","2.429","2.680"
"08.04.2026","Wednesday","","1.893","1.935","","2.162","2.525","2.860"
"07.04.2026","Tuesday","","1.913","1.918","","2.170","2.512","2.872"
"02.04.2026","Thursday","","1.918","1.909","","2.103","2.458","2.799"
"01.04.2026","Wednesday","","1.895","1.902","","2.075","2.488","2.845"
"31.03.2026","Tuesday","","1.905","1.893","","2.079","2.475","2.870"
"30.03.2026","Monday","","1.921","1.878","","2.122","2.529","2.932"
"27.03.2026","Friday","","1.945","1.892","","2.127","2.504","2.860"
"26.03.2026","Thursday","","1.928","1.907","","2.135","2.502","2.820"
"25.03.2026","Wednesday","","1.892","1.947","","2.135","2.518","2.812"
"24.03.2026","Tuesday","","1.900","1.960","","2.178","2.589","2.929"
"23.03.2026","Monday","","1.915","1.940","","2.129","2.468","2.740"
"20.03.2026","Friday","","1.907","1.919","","2.111","2.406","2.658"
"19.03.2026","Thursday","","1.886","1.920","","2.108","2.317","2.524"
"18.03.2026","Wednesday","","1.891","1.940","","2.121","2.309","2.528"
"17.03.2026","Tuesday","","1.902","1.942","","2.148","2.333","2.547"
"16.03.2026","Monday","","1.890","1.958","","2.157","2.312","2.540"
"13.03.2026","Friday","","1.898","1.948","","2.157","2.289","2.522"
"12.03.2026","Thursday","","1.892","1.940","","2.150","2.225","2.456"
"11.03.2026","Wednesday","","1.878","1.940","","2.122","2.173","2.369"
"10.03.2026","Tuesday","","1.888","1.951","","2.138","2.295","2.552"
"09.03.2026","Monday","","1.888","1.941","","2.078","2.178","2.367"
"06.03.2026","Friday","","1.898","1.940","","2.049","2.139","2.323"
"05.03.2026","Thursday","","1.921","1.955","","2.046","2.136","2.316"
"04.03.2026","Wednesday","","1.889","1.948","","2.056","2.135","2.307"
"03.03.2026","Tuesday","","1.882","1.925","","2.035","2.120","2.232"
"02.03.2026","Monday","","1.889","1.937","","2.026","2.131","2.229"
"27.02.2026","Friday","","1.876","1.943","","2.013","2.128","2.222"
"26.02.2026","Thursday","","1.895","1.954","","2.013","2.134","2.217"
"25.02.2026","Wednesday","","1.864","1.928","","2.011","2.139","2.208"
"24.02.2026","Tuesday","","1.874","1.942","","2.041","2.149","2.206"
"23.02.2026","Monday","","1.869","1.960","","2.034","2.145","2.205"
