"Date","Week day","ON","1W","1M","2M","3M","6M","12M"
"16.07.2026","Thursday","3.73080","","","","","",""
"15.07.2026","Wednesday","3.73080","","","","","",""
"14.07.2026","Tuesday","3.73110","","","","","",""
"13.07.2026","Monday","3.73080","","","","","",""
"10.07.2026","Friday","3.73100","","","","","",""
"09.07.2026","Thursday","3.73110","","","","","",""
"08.07.2026","Wednesday","3.73030","","","","","",""
"07.07.2026","Tuesday","3.72970","","","","","",""
"06.07.2026","Monday","3.72970","","","","","",""
"03.07.2026","Friday","3.73020","","","","","",""
"02.07.2026","Thursday","3.73050","","","","","",""
"01.07.2026","Wednesday","3.73090","","","","","",""
"30.06.2026","Tuesday","3.73180","","","","","",""
"29.06.2026","Monday","3.72920","","","","","",""
"26.06.2026","Friday","3.72900","","","","","",""
"25.06.2026","Thursday","3.72870","","","","","",""
"24.06.2026","Wednesday","3.72900","","","","","",""
"23.06.2026","Tuesday","3.72950","","","","","",""
"22.06.2026","Monday","3.72920","","","","","",""
"19.06.2026","Friday","3.72940","","","","","",""
"18.06.2026","Thursday","3.73000","","","","","",""
"17.06.2026","Wednesday","3.73030","","","","","",""
"16.06.2026","Tuesday","3.73040","","","","","",""
"15.06.2026","Monday","3.72960","","","","","",""
"12.06.2026","Friday","3.73010","","","","","",""
"11.06.2026","Thursday","3.73050","","","","","",""
"10.06.2026","Wednesday","3.72960","","","","","",""
"09.06.2026","Tuesday","3.72710","","","","","",""
"08.06.2026","Monday","3.73000","","","","","",""
"05.06.2026","Friday","3.73120","","","","","",""
"04.06.2026","Thursday","3.73080","","","","","",""
"03.06.2026","Wednesday","3.73060","","","","","",""
"02.06.2026","Tuesday","3.73080","","","","","",""
"01.06.2026","Monday","3.72910","","","","","",""
"29.05.2026","Friday","3.73020","","","","","",""
"28.05.2026","Thursday","3.72950","","","","","",""
"27.05.2026","Wednesday","3.72900","","","","","",""
"26.05.2026","Tuesday","3.7290","","","","","",""
"22.05.2026","Friday","3.7301","","","","","",""
"21.05.2026","Thursday","3.7309","","","","","",""
"20.05.2026","Wednesday","3.7301","","","","","",""
"19.05.2026","Tuesday","3.7302","","","","","",""
"18.05.2026","Monday","3.7297","","","","","",""
"15.05.2026","Friday","3.7299","","","","","",""
"14.05.2026","Thursday","3.7300","","","","","",""
"13.05.2026","Wednesday","3.7290","","","","","",""
"12.05.2026","Tuesday","3.7292","","","","","",""
"11.05.2026","Monday","3.7290","","","","","",""
"08.05.2026","Friday","3.7294","","","","","",""
"07.05.2026","Thursday","3.7299","","","","","",""
"06.05.2026","Wednesday","3.7292","","","","","",""
"05.05.2026","Tuesday","3.7291","","","","","",""
"01.05.2026","Friday","3.7295","","","","","",""
"30.04.2026","Thursday","3.7299","","","","","",""
"29.04.2026","Wednesday","3.7298","","","","","",""
"28.04.2026","Tuesday","3.7306","","","","","",""
"27.04.2026","Monday","3.7307","","","","","",""
"24.04.2026","Friday","3.7305","","","","","",""
"23.04.2026","Thursday","3.7311","","","","","",""
"22.04.2026","Wednesday","3.7304","","","","","",""
"21.04.2026","Tuesday","3.7307","","","","","",""
"20.04.2026","Monday","3.7304","","","","","",""
"17.04.2026","Friday","3.7300","","","","","",""
"16.04.2026","Thursday","3.7301","","","","","",""
"15.04.2026","Wednesday","3.7301","","","","","",""
"14.04.2026","Tuesday","3.7293","","","","","",""
"13.04.2026","Monday","3.7290","","","","","",""
"10.04.2026","Friday","3.7295","","","","","",""
"09.04.2026","Thursday","3.7294","","","","","",""
"08.04.2026","Wednesday","3.7287","","","","","",""
"07.04.2026","Tuesday","3.7294","","","","","",""
"02.04.2026","Thursday","3.7300","","","","","",""
"01.04.2026","Wednesday","3.7297","","","","","",""
"31.03.2026","Tuesday","3.7296","","","","","",""
"30.03.2026","Monday","3.7281","","","","","",""
"27.03.2026","Friday","3.7284","","","","","",""
"26.03.2026","Thursday","3.7282","","","","","",""
"25.03.2026","Wednesday","3.7278","","","","","",""
"24.03.2026","Tuesday","3.7274","","","","","",""
"23.03.2026","Monday","3.7274","","","","","",""
"20.03.2026","Friday","3.7281","","","","","",""
