"Date","Week day","ON","1W","1M","2M","3M","6M","12M"
"22.07.2026","Wednesday","","","3.69314","","3.77509","3.90445","4.07180"
"21.07.2026","Tuesday","","","3.67591","","3.75217","3.88010","4.03943"
"20.07.2026","Monday","","","3.66738","","3.73322","3.84400","3.98943"
"17.07.2026","Friday","","","3.66774","","3.73373","3.84179","3.99175"
"16.07.2026","Thursday","","","3.66961","","3.72921","3.83253","3.98256"
"15.07.2026","Wednesday","","","3.67946","","3.74952","3.86732","4.03033"
"14.07.2026","Tuesday","","","3.70516","","3.79286","3.92730","4.09427"
"13.07.2026","Monday","","","3.67637","","3.75292","3.87135","4.03255"
"10.07.2026","Friday","","","3.65942","","3.74055","3.85968","4.01971"
"09.07.2026","Thursday","","","3.67529","","3.76264","3.88727","4.05231"
"08.07.2026","Wednesday","","","3.67035","","3.74770","3.85331","3.99851"
"07.07.2026","Tuesday","","","3.66876","","3.73752","3.84530","3.98569"
"06.07.2026","Monday","","","3.66688","","3.72994","3.83803","3.99029"
"02.07.2026","Thursday","","","3.66738","","3.75202","3.87192","4.02612"
"01.07.2026","Wednesday","","","3.66407","","3.75019","3.86745","4.01188"
"30.06.2026","Tuesday","","","3.65197","","3.73372","3.84940","3.99007"
"29.06.2026","Monday","","","3.64670","","3.72543","3.83767","3.96662"
"26.06.2026","Friday","","","3.64392","","3.73222","3.84627","3.99367"
"25.06.2026","Thursday","","","3.65261","","3.74427","3.86478","4.02163"
"24.06.2026","Wednesday","","","3.65178","","3.74451","3.87025","4.04175"
"23.06.2026","Tuesday","","","3.64834","","3.73964","3.88379","4.07374"
"22.06.2026","Monday","","","3.64338","","3.72777","3.85550","4.03325"
"18.06.2026","Thursday","","","3.64320","","3.69599","3.78508","3.94477"
"17.06.2026","Wednesday","","","3.63903","","3.67697","3.74330","3.88037"
"16.06.2026","Tuesday","","","3.63718","","3.66773","3.73131","3.86914"
"15.06.2026","Monday","","","3.63639","","3.66747","3.73413","3.88565"
"12.06.2026","Friday","","","3.63312","","3.67045","3.75101","3.91357"
"11.06.2026","Thursday","","","3.62539","","3.66435","3.74614","3.91414"
"10.06.2026","Wednesday","","","3.62128","","3.66369","3.74725","3.91842"
"09.06.2026","Tuesday","","","3.62405","","3.66503","3.74772","3.92646"
"08.06.2026","Monday","","","3.62103","","3.66135","3.73960","3.91915"
"05.06.2026","Friday","","","3.61196","","3.64870","3.70792","3.84527"
"04.06.2026","Thursday","","","3.61356","","3.65209","3.71729","3.87205"
"03.06.2026","Wednesday","","","3.61264","","3.65177","3.71106","3.84898"
"02.06.2026","Tuesday","","","3.61931","","3.65749","3.71992","3.86515"
"01.06.2026","Monday","","","3.62123","","3.65559","3.70843","3.82572"
"29.05.2026","Friday","","","3.61998","","3.65736","3.71384","3.83591"
"28.05.2026","Thursday","","","3.62045","","3.66043","3.71658","3.84171"
"27.05.2026","Wednesday","","","3.62031","","3.66578","3.72996","3.86412"
"26.05.2026","Tuesday","","","3.61389","","3.66248","3.73945","3.89714"
"22.05.2026","Friday","","","3.60833","","3.65621","3.72783","3.87603"
"21.05.2026","Thursday","","","3.58432","","3.63610","3.69778","3.83777"
"20.05.2026","Wednesday","","","3.57888","","3.63829","3.70397","3.85871"
"19.05.2026","Tuesday","","","3.59824","","3.64110","3.69432","3.82464"
"18.05.2026","Monday","","","3.60264","","3.64192","3.69405","3.83097"
"15.05.2026","Friday","","","3.61281","","3.64106","3.68298","3.78642"
"14.05.2026","Thursday","","","3.62506","","3.64894","3.68661","3.79398"
"13.05.2026","Wednesday","","","3.62709","","3.65107","3.68531","3.79231"
"12.05.2026","Tuesday","","","3.62852","","3.64634","3.67177","3.74928"
"11.05.2026","Monday","","","3.63143","","3.64396","3.66028","3.72921"
"08.05.2026","Friday","","","3.63229","","3.64329","3.65770","3.72516"
"07.05.2026","Thursday","","","3.63792","","3.64771","3.66246","3.72995"
"06.05.2026","Wednesday","","","3.63940","","3.64957","3.67004","3.76651"
"05.05.2026","Tuesday","","","3.64265","","3.65665","3.68420","3.77802"
"04.05.2026","Monday","","","3.64523","","3.65328","3.66735","3.72594"
"01.05.2026","Friday","","","3.64637","","3.65811","3.67358","3.73148"
"30.04.2026","Thursday","","","3.64809","","3.66395","3.68419","3.74111"
"29.04.2026","Wednesday","","","3.64933","","3.66315","3.67562","3.70668"
"28.04.2026","Tuesday","","","3.65217","","3.66339","3.66856","3.68268"
"27.04.2026","Monday","","","3.65907","","3.66889","3.67257","3.68295"
"24.04.2026","Friday","","","3.65788","","3.67013","3.68096","3.70015"
"23.04.2026","Thursday","","","3.65431","","3.66659","3.67825","3.68857"
"22.04.2026","Wednesday","","","3.65173","","3.66709","3.67925","3.68343"
"21.04.2026","Tuesday","","","3.65234","","3.66606","3.66946","3.65308"
"20.04.2026","Monday","","","3.65250","","3.66364","3.66065","3.64005"
"17.04.2026","Friday","","","3.65719","","3.67214","3.68196","3.68557"
"16.04.2026","Thursday","","","3.66101","","3.67523","3.68767","3.69088"
"15.04.2026","Wednesday","","","3.66796","","3.68038","3.69304","3.69816"
"14.04.2026","Tuesday","","","3.66440","","3.67952","3.69553","3.71018"
"13.04.2026","Monday","","","3.65471","","3.67310","3.69157","3.70267"
"10.04.2026","Friday","","","3.64863","","3.66895","3.68686","3.69353"
"09.04.2026","Thursday","","","3.65178","","3.66870","3.68184","3.68509"
"08.04.2026","Wednesday","","","3.65832","","3.67854","3.70397","3.74412"
"07.04.2026","Tuesday","","","3.66060","","3.67708","3.69948","3.74331"
"06.04.2026","Monday","","","3.66000","","3.67726","3.69844","3.73859"
"03.04.2026","Friday","","","3.66095","","3.67854","3.69471","3.71385"
"02.04.2026","Thursday","","","3.65684","","3.67387","3.68619","3.70040"
"01.04.2026","Wednesday","","","3.66067","","3.67725","3.68813","3.70427"
"31.03.2026","Tuesday","","","3.66484","","3.68223","3.70002","3.73478"
"27.03.2026","Friday","","","3.66774","","3.69961","3.74482","3.82708"
"26.03.2026","Thursday","","","3.67306","","3.70074","3.73371","3.78879"
"25.03.2026","Wednesday","","","3.67636","","3.71082","3.74886","3.81141"
"24.03.2026","Tuesday","","","3.68065","","3.71088","3.73996","3.78131"
