"Date","Week day","ON","1W","1M","2M","3M","6M","12M"
"21.07.2026","Tuesday","-0.043662","","","","","",""
"20.07.2026","Monday","-0.046790","","","","","",""
"17.07.2026","Friday","-0.042466","","","","","",""
"16.07.2026","Thursday","-0.044362","","","","","",""
"15.07.2026","Wednesday","-0.043818","","","","","",""
"14.07.2026","Tuesday","-0.042717","","","","","",""
"13.07.2026","Monday","-0.038424","","","","","",""
"10.07.2026","Friday","-0.038300","","","","","",""
"09.07.2026","Thursday","-0.038013","","","","","",""
"08.07.2026","Wednesday","-0.038456","","","","","",""
"07.07.2026","Tuesday","-0.038226","","","","","",""
"06.07.2026","Monday","-0.038263","","","","","",""
"03.07.2026","Friday","-0.038180","","","","","",""
"02.07.2026","Thursday","-0.037963","","","","","",""
"01.07.2026","Wednesday","-0.037259","","","","","",""
"30.06.2026","Tuesday","-0.043903","","","","","",""
"29.06.2026","Monday","-0.038212","","","","","",""
"26.06.2026","Friday","-0.038579","","","","","",""
"25.06.2026","Thursday","-0.038689","","","","","",""
"24.06.2026","Wednesday","-0.038477","","","","","",""
"23.06.2026","Tuesday","-0.038222","","","","","",""
"22.06.2026","Monday","-0.038433","","","","","",""
"19.06.2026","Friday","-0.037545","","","","","",""
"18.06.2026","Thursday","-0.038204","","","","","",""
"17.06.2026","Wednesday","-0.038630","","","","","",""
"16.06.2026","Tuesday","-0.038077","","","","","",""
"15.06.2026","Monday","-0.037867","","","","","",""
"12.06.2026","Friday","-0.037657","","","","","",""
"11.06.2026","Thursday","-0.037873","","","","","",""
"10.06.2026","Wednesday","-0.037622","","","","","",""
"09.06.2026","Tuesday","-0.037108","","","","","",""
"08.06.2026","Monday","-0.037412","","","","","",""
"05.06.2026","Friday","-0.037253","","","","","",""
"04.06.2026","Thursday","-0.039066","","","","","",""
"03.06.2026","Wednesday","-0.040199","","","","","",""
"02.06.2026","Tuesday","-0.041098","","","","","",""
"01.06.2026","Monday","-0.044046","","","","","",""
"29.05.2026","Friday","-0.055974","","","","","",""
"28.05.2026","Thursday","-0.040180","","","","","",""
"27.05.2026","Wednesday","-0.039893","","","","","",""
"26.05.2026","Tuesday","-0.043980","","","","","",""
"22.05.2026","Friday","-0.044311","","","","","",""
"21.05.2026","Thursday","-0.046550","","","","","",""
"20.05.2026","Wednesday","-0.046679","","","","","",""
"19.05.2026","Tuesday","-0.047239","","","","","",""
"18.05.2026","Monday","-0.047710","","","","","",""
"15.05.2026","Friday","-0.049175","","","","","",""
"13.05.2026","Wednesday","-0.053580","","","","","",""
"12.05.2026","Tuesday","-0.053580","","","","","",""
"11.05.2026","Monday","-0.048372","","","","","",""
"08.05.2026","Friday","-0.042742","","","","","",""
"07.05.2026","Thursday","-0.040364","","","","","",""
"06.05.2026","Wednesday","-0.045711","","","","","",""
"05.05.2026","Tuesday","-0.039899","","","","","",""
"04.05.2026","Monday","-0.037902","","","","","",""
"30.04.2026","Thursday","-0.046989","","","","","",""
"29.04.2026","Wednesday","-0.038119","","","","","",""
"28.04.2026","Tuesday","-0.038846","","","","","",""
"27.04.2026","Monday","-0.038124","","","","","",""
"24.04.2026","Friday","-0.037942","","","","","",""
"23.04.2026","Thursday","-0.039259","","","","","",""
"22.04.2026","Wednesday","-0.039025","","","","","",""
"21.04.2026","Tuesday","-0.039318","","","","","",""
"20.04.2026","Monday","-0.040388","","","","","",""
"17.04.2026","Friday","-0.039144","","","","","",""
"16.04.2026","Thursday","-0.041890","","","","","",""
"15.04.2026","Wednesday","-0.041183","","","","","",""
"14.04.2026","Tuesday","-0.043496","","","","","",""
"13.04.2026","Monday","-0.044110","","","","","",""
"10.04.2026","Friday","-0.045195","","","","","",""
"09.04.2026","Thursday","-0.044869","","","","","",""
