"Date","Week day","ON","1W","1M","2M","3M","6M","12M"
"16.07.2026","Thursday","0.97900","","","","","",""
"15.07.2026","Wednesday","0.98100","","","","","",""
"14.07.2026","Tuesday","0.97700","","","","","",""
"13.07.2026","Monday","0.97700","","","","","",""
"10.07.2026","Friday","0.97700","","","","","",""
"09.07.2026","Thursday","0.97800","","","","","",""
"08.07.2026","Wednesday","0.97800","","","","","",""
"07.07.2026","Tuesday","0.97800","","","","","",""
"06.07.2026","Monday","0.97700","","","","","",""
"03.07.2026","Friday","0.97700","","","","","",""
"02.07.2026","Thursday","0.97700","","","","","",""
"01.07.2026","Wednesday","0.97700","","","","","",""
"30.06.2026","Tuesday","0.97600","","","","","",""
"29.06.2026","Monday","0.97800","","","","","",""
"26.06.2026","Friday","0.97700","","","","","",""
"25.06.2026","Thursday","0.97800","","","","","",""
"24.06.2026","Wednesday","0.97700","","","","","",""
"23.06.2026","Tuesday","0.97600","","","","","",""
"22.06.2026","Monday","0.97700","","","","","",""
"19.06.2026","Friday","0.97700","","","","","",""
"18.06.2026","Thursday","0.97700","","","","","",""
"17.06.2026","Wednesday","0.97800","","","","","",""
"16.06.2026","Tuesday","0.72700","","","","","",""
"15.06.2026","Monday","0.72700","","","","","",""
"12.06.2026","Friday","0.72700","","","","","",""
"11.06.2026","Thursday","0.72700","","","","","",""
"10.06.2026","Wednesday","0.72700","","","","","",""
"09.06.2026","Tuesday","0.72700","","","","","",""
"08.06.2026","Monday","0.72700","","","","","",""
"05.06.2026","Friday","0.72700","","","","","",""
"04.06.2026","Thursday","0.72600","","","","","",""
"03.06.2026","Wednesday","0.72700","","","","","",""
"02.06.2026","Tuesday","0.72700","","","","","",""
"01.06.2026","Monday","0.72600","","","","","",""
"29.05.2026","Friday","0.72700","","","","","",""
"28.05.2026","Thursday","0.72700","","","","","",""
"27.05.2026","Wednesday","0.72700","","","","","",""
"26.05.2026","Tuesday","0.72700","","","","","",""
"25.05.2026","Monday","0.72700","","","","","",""
"22.05.2026","Friday","0.72600","","","","","",""
"21.05.2026","Thursday","0.72700","","","","","",""
"20.05.2026","Wednesday","0.72800","","","","","",""
"19.05.2026","Tuesday","0.72800","","","","","",""
"18.05.2026","Monday","0.72800","","","","","",""
"15.05.2026","Friday","0.72700","","","","","",""
"14.05.2026","Thursday","0.72700","","","","","",""
"13.05.2026","Wednesday","0.72700","","","","","",""
"12.05.2026","Tuesday","0.72700","","","","","",""
"11.05.2026","Monday","0.72600","","","","","",""
"08.05.2026","Friday","0.72700","","","","","",""
"07.05.2026","Thursday","0.72700","","","","","",""
"01.05.2026","Friday","0.72700","","","","","",""
"30.04.2026","Thursday","0.72700","","","","","",""
"28.04.2026","Tuesday","0.72700","","","","","",""
"27.04.2026","Monday","0.72700","","","","","",""
"24.04.2026","Friday","0.72800","","","","","",""
"23.04.2026","Thursday","0.72700","","","","","",""
"22.04.2026","Wednesday","0.72700","","","","","",""
"21.04.2026","Tuesday","0.72700","","","","","",""
"20.04.2026","Monday","0.72700","","","","","",""
"17.04.2026","Friday","0.72800","","","","","",""
"16.04.2026","Thursday","0.72700","","","","","",""
"15.04.2026","Wednesday","0.72700","","","","","",""
"13.04.2026","Monday","0.72600","","","","","",""
"10.04.2026","Friday","0.72800","","","","","",""
"09.04.2026","Thursday","0.72700","","","","","",""
"08.04.2026","Wednesday","0.72700","","","","","",""
"07.04.2026","Tuesday","0.72700","","","","","",""
"06.04.2026","Monday","0.72700","","","","","",""
"03.04.2026","Friday","0.72800","","","","","",""
"02.04.2026","Thursday","0.72700","","","","","",""
"01.04.2026","Wednesday","0.72800","","","","","",""
"31.03.2026","Tuesday","0.72700","","","","","",""
"30.03.2026","Monday","0.72600","","","","","",""
"27.03.2026","Friday","0.72700","","","","","",""
"26.03.2026","Thursday","0.72700","","","","","",""
"25.03.2026","Wednesday","0.72800","","","","","",""
"24.03.2026","Tuesday","0.72800","","","","","",""
"23.03.2026","Monday","0.72800","","","","","",""
"19.03.2026","Thursday","0.72800","","","","","",""
"18.03.2026","Wednesday","0.72700","","","","","",""
"17.03.2026","Tuesday","0.72700","","","","","",""
"16.03.2026","Monday","0.72700","","","","","",""
"13.03.2026","Friday","0.72800","","","","","",""
"12.03.2026","Thursday","0.73400","","","","","",""
"11.03.2026","Wednesday","0.72700","","","","","",""
"10.03.2026","Tuesday","0.72800","","","","","",""
"09.03.2026","Monday","0.72700","","","","","",""
"06.03.2026","Friday","0.72800","","","","","",""
"05.03.2026","Thursday","0.72800","","","","","",""
"04.03.2026","Wednesday","0.73000","","","","","",""
"03.03.2026","Tuesday","0.72700","","","","","",""
"02.03.2026","Monday","0.72700","","","","","",""
"27.02.2026","Friday","0.72700","","","","","",""
"26.02.2026","Thursday","0.72800","","","","","",""
"25.02.2026","Wednesday","0.72900","","","","","",""
"24.02.2026","Tuesday","0.72700","","","","","",""
"20.02.2026","Friday","0.72900","","","","","",""
"19.02.2026","Thursday","0.72800","","","","","",""
"18.02.2026","Wednesday","0.72800","","","","","",""
"17.02.2026","Tuesday","0.73000","","","","","",""
"16.02.2026","Monday","0.72800","","","","","",""
"13.02.2026","Friday","0.72800","","","","","",""
"12.02.2026","Thursday","0.72800","","","","","",""
"10.02.2026","Tuesday","0.72700","","","","","",""
"09.02.2026","Monday","0.72800","","","","","",""
"06.02.2026","Friday","0.72800","","","","","",""
"05.02.2026","Thursday","0.72700","","","","","",""
"04.02.2026","Wednesday","0.72700","","","","","",""
"03.02.2026","Tuesday","0.73000","","","","","",""
"02.02.2026","Monday","0.72700","","","","","",""
"30.01.2026","Friday","0.72700","","","","","",""
"29.01.2026","Thursday","0.72700","","","","","",""
"28.01.2026","Wednesday","0.72700","","","","","",""
"27.01.2026","Tuesday","0.73600","","","","","",""
"26.01.2026","Monday","0.72800","","","","","",""
"23.01.2026","Friday","0.72700","","","","","",""
"22.01.2026","Thursday","0.72700","","","","","",""
"21.01.2026","Wednesday","0.72700","","","","","",""
"20.01.2026","Tuesday","0.72800","","","","","",""
"19.01.2026","Monday","0.72700","","","","","",""
"16.01.2026","Friday","0.72700","","","","","",""
"15.01.2026","Thursday","0.72700","","","","","",""
"14.01.2026","Wednesday","0.72700","","","","","",""
"13.01.2026","Tuesday","0.72700","","","","","",""
"09.01.2026","Friday","0.72700","","","","","",""
"08.01.2026","Thursday","0.72900","","","","","",""
"07.01.2026","Wednesday","0.72700","","","","","",""
"06.01.2026","Tuesday","0.72700","","","","","",""
"05.01.2026","Monday","0.72700","","","","","",""
"30.12.2025","Tuesday","0.72700","","","","","",""
"29.12.2025","Monday","0.72800","","","","","",""
"26.12.2025","Friday","0.72700","","","","","",""
"25.12.2025","Thursday","0.72800","","","","","",""
"24.12.2025","Wednesday","0.72700","","","","","",""
"23.12.2025","Tuesday","0.72700","","","","","",""
"22.12.2025","Monday","0.72700","","","","","",""
"19.12.2025","Friday","0.47700","","","","","",""
"18.12.2025","Thursday","0.47700","","","","","",""
"17.12.2025","Wednesday","0.47800","","","","","",""
"16.12.2025","Tuesday","0.48200","","","","","",""
"15.12.2025","Monday","0.47700","","","","","",""
"12.12.2025","Friday","0.47700","","","","","",""
"11.12.2025","Thursday","0.47800","","","","","",""
"10.12.2025","Wednesday","0.47700","","","","","",""
"09.12.2025","Tuesday","0.48200","","","","","",""
"08.12.2025","Monday","0.47700","","","","","",""
"05.12.2025","Friday","0.47700","","","","","",""
"04.12.2025","Thursday","0.47700","","","","","",""
"03.12.2025","Wednesday","0.47800","","","","","",""
"02.12.2025","Tuesday","0.47700","","","","","",""
"01.12.2025","Monday","0.47700","","","","","",""
"28.11.2025","Friday","0.47700","","","","","",""
"27.11.2025","Thursday","0.47700","","","","","",""
"26.11.2025","Wednesday","0.47800","","","","","",""
"25.11.2025","Tuesday","0.47800","","","","","",""
"21.11.2025","Friday","0.47800","","","","","",""
"20.11.2025","Thursday","0.47900","","","","","",""
"19.11.2025","Wednesday","0.47900","","","","","",""
"18.11.2025","Tuesday","0.47800","","","","","",""
"17.11.2025","Monday","0.47700","","","","","",""
"14.11.2025","Friday","0.47800","","","","","",""
"13.11.2025","Thursday","0.47700","","","","","",""
"12.11.2025","Wednesday","0.47900","","","","","",""
"11.11.2025","Tuesday","0.47700","","","","","",""
"10.11.2025","Monday","0.48100","","","","","",""
"07.11.2025","Friday","0.47800","","","","","",""
"06.11.2025","Thursday","0.47700","","","","","",""
"05.11.2025","Wednesday","0.47700","","","","","",""
"04.11.2025","Tuesday","0.47600","","","","","",""
"30.10.2025","Thursday","0.47600","","","","","",""
"29.10.2025","Wednesday","0.47700","","","","","",""
"28.10.2025","Tuesday","0.47700","","","","","",""
"27.10.2025","Monday","0.47700","","","","","",""
"24.10.2025","Friday","0.47700","","","","","",""
"23.10.2025","Thursday","0.47700","","","","","",""
"22.10.2025","Wednesday","0.47700","","","","","",""
"21.10.2025","Tuesday","0.47700","","","","","",""
"20.10.2025","Monday","0.47700","","","","","",""
"17.10.2025","Friday","0.47700","","","","","",""
"16.10.2025","Thursday","0.47700","","","","","",""
"15.10.2025","Wednesday","0.47700","","","","","",""
"14.10.2025","Tuesday","0.47700","","","","","",""
"10.10.2025","Friday","0.47700","","","","","",""
"09.10.2025","Thursday","0.47800","","","","","",""
"08.10.2025","Wednesday","0.47700","","","","","",""
"07.10.2025","Tuesday","0.47700","","","","","",""
"06.10.2025","Monday","0.47700","","","","","",""
"03.10.2025","Friday","0.47700","","","","","",""
"02.10.2025","Thursday","0.47700","","","","","",""
"01.10.2025","Wednesday","0.47700","","","","","",""
"30.09.2025","Tuesday","0.47700","","","","","",""
"29.09.2025","Monday","0.47700","","","","","",""
"26.09.2025","Friday","0.47600","","","","","",""
"25.09.2025","Thursday","0.47700","","","","","",""
"24.09.2025","Wednesday","0.47800","","","","","",""
"19.09.2025","Friday","0.47700","","","","","",""
"18.09.2025","Thursday","0.47700","","","","","",""
"17.09.2025","Wednesday","0.47800","","","","","",""
"16.09.2025","Tuesday","0.47700","","","","","",""
"11.09.2025","Thursday","0.48000","","","","","",""
"10.09.2025","Wednesday","0.47700","","","","","",""
"09.09.2025","Tuesday","0.47700","","","","","",""
"08.09.2025","Monday","0.47700","","","","","",""
"05.09.2025","Friday","0.47700","","","","","",""
"04.09.2025","Thursday","0.47900","","","","","",""
"03.09.2025","Wednesday","0.47800","","","","","",""
"02.09.2025","Tuesday","0.47800","","","","","",""
"01.09.2025","Monday","0.47700","","","","","",""
"29.08.2025","Friday","0.47700","","","","","",""
"28.08.2025","Thursday","0.47800","","","","","",""
"27.08.2025","Wednesday","0.47800","","","","","",""
"26.08.2025","Tuesday","0.47800","","","","","",""
"25.08.2025","Monday","0.47700","","","","","",""
"22.08.2025","Friday","0.47600","","","","","",""
"21.08.2025","Thursday","0.47600","","","","","",""
"20.08.2025","Wednesday","0.47600","","","","","",""
"19.08.2025","Tuesday","0.47700","","","","","",""
"18.08.2025","Monday","0.47700","","","","","",""
"15.08.2025","Friday","0.47700","","","","","",""
"14.08.2025","Thursday","0.47700","","","","","",""
"13.08.2025","Wednesday","0.47700","","","","","",""
"30.07.2025","Wednesday","0.48100","","","","","",""
"29.07.2025","Tuesday","0.47800","","","","","",""
"28.07.2025","Monday","0.47900","","","","","",""
"25.07.2025","Friday","0.47700","","","","","",""
"24.07.2025","Thursday","0.47700","","","","","",""
"23.07.2025","Wednesday","0.47800","","","","","",""
"22.07.2025","Tuesday","0.47900","","","","","",""
"17.07.2025","Thursday","0.47700","","","","","",""
"16.07.2025","Wednesday","0.47700","","","","","",""
"15.07.2025","Tuesday","0.47600","","","","","",""
"14.07.2025","Monday","0.47900","","","","","",""
"11.07.2025","Friday","0.47700","","","","","",""
"10.07.2025","Thursday","0.47700","","","","","",""
"09.07.2025","Wednesday","0.47700","","","","","",""
"08.07.2025","Tuesday","0.47700","","","","","",""
"07.07.2025","Monday","0.47700","","","","","",""
"04.07.2025","Friday","0.47700","","","","","",""
"03.07.2025","Thursday","0.47700","","","","","",""
"02.07.2025","Wednesday","0.47700","","","","","",""
"01.07.2025","Tuesday","0.47700","","","","","",""
"30.06.2025","Monday","0.47700","","","","","",""
"27.06.2025","Friday","0.47700","","","","","",""
"26.06.2025","Thursday","0.47800","","","","","",""
"25.06.2025","Wednesday","0.47800","","","","","",""
"24.06.2025","Tuesday","0.47800","","","","","",""
"23.06.2025","Monday","0.47600","","","","","",""
"20.06.2025","Friday","0.47700","","","","","",""
"19.06.2025","Thursday","0.47700","","","","","",""
"18.06.2025","Wednesday","0.47800","","","","","",""
"17.06.2025","Tuesday","0.47700","","","","","",""
"16.06.2025","Monday","0.47700","","","","","",""
"13.06.2025","Friday","0.47700","","","","","",""
"12.06.2025","Thursday","0.48100","","","","","",""
"11.06.2025","Wednesday","0.47700","","","","","",""
"10.06.2025","Tuesday","0.47700","","","","","",""
"09.06.2025","Monday","0.47700","","","","","",""
"06.06.2025","Friday","0.47700","","","","","",""
"05.06.2025","Thursday","0.47700","","","","","",""
"04.06.2025","Wednesday","0.47700","","","","","",""
"03.06.2025","Tuesday","0.47700","","","","","",""
"02.06.2025","Monday","0.47700","","","","","",""
"29.05.2025","Thursday","0.47600","","","","","",""
"28.05.2025","Wednesday","0.47600","","","","","",""
"27.05.2025","Tuesday","0.47600","","","","","",""
"26.05.2025","Monday","0.47600","","","","","",""
"23.05.2025","Friday","0.47700","","","","","",""
"22.05.2025","Thursday","0.47600","","","","","",""
"21.05.2025","Wednesday","0.47700","","","","","",""
"20.05.2025","Tuesday","0.47800","","","","","",""
"19.05.2025","Monday","0.47800","","","","","",""
"16.05.2025","Friday","0.47700","","","","","",""
"15.05.2025","Thursday","0.47700","","","","","",""
"14.05.2025","Wednesday","0.47700","","","","","",""
"13.05.2025","Tuesday","0.47700","","","","","",""
"12.05.2025","Monday","0.47700","","","","","",""
"09.05.2025","Friday","0.47700","","","","","",""
"08.05.2025","Thursday","0.47600","","","","","",""
"07.05.2025","Wednesday","0.47700","","","","","",""
"01.05.2025","Thursday","0.47700","","","","","",""
"30.04.2025","Wednesday","0.47600","","","","","",""
"25.04.2025","Friday","0.47700","","","","","",""
"24.04.2025","Thursday","0.47700","","","","","",""
"23.04.2025","Wednesday","0.47700","","","","","",""
"22.04.2025","Tuesday","0.47600","","","","","",""
"21.04.2025","Monday","0.47600","","","","","",""
"17.04.2025","Thursday","0.47600","","","","","",""
"16.04.2025","Wednesday","0.47700","","","","","",""
"15.04.2025","Tuesday","0.47600","","","","","",""
"14.04.2025","Monday","0.47700","","","","","",""
"11.04.2025","Friday","0.47700","","","","","",""
"10.04.2025","Thursday","0.47600","","","","","",""
"09.04.2025","Wednesday","0.47600","","","","","",""
"08.04.2025","Tuesday","0.47700","","","","","",""
"07.04.2025","Monday","0.47700","","","","","",""
"04.04.2025","Friday","0.47700","","","","","",""
"03.04.2025","Thursday","0.47600","","","","","",""
"02.04.2025","Wednesday","0.47700","","","","","",""
"01.04.2025","Tuesday","0.47700","","","","","",""
"31.03.2025","Monday","0.47600","","","","","",""
"28.03.2025","Friday","0.47700","","","","","",""
"27.03.2025","Thursday","0.47600","","","","","",""
"26.03.2025","Wednesday","0.47700","","","","","",""
"25.03.2025","Tuesday","0.47600","","","","","",""
"24.03.2025","Monday","0.47600","","","","","",""
"21.03.2025","Friday","0.47700","","","","","",""
"18.03.2025","Tuesday","0.47600","","","","","",""
"17.03.2025","Monday","0.47700","","","","","",""
"14.03.2025","Friday","0.47700","","","","","",""
"13.03.2025","Thursday","0.47600","","","","","",""
"12.03.2025","Wednesday","0.47900","","","","","",""
"11.03.2025","Tuesday","0.47900","","","","","",""
"10.03.2025","Monday","0.47800","","","","","",""
"07.03.2025","Friday","0.47700","","","","","",""
"06.03.2025","Thursday","0.47600","","","","","",""
"05.03.2025","Wednesday","0.47600","","","","","",""
"04.03.2025","Tuesday","0.47600","","","","","",""
"03.03.2025","Monday","0.47700","","","","","",""
"28.02.2025","Friday","0.47700","","","","","",""
"27.02.2025","Thursday","0.47700","","","","","",""
"26.02.2025","Wednesday","0.47700","","","","","",""
"25.02.2025","Tuesday","0.47900","","","","","",""
"24.02.2025","Monday","0.47780","","","","","",""
"21.02.2025","Friday","0.47700","","","","","",""
"20.02.2025","Thursday","0.47700","","","","","",""
"19.02.2025","Wednesday","0.47700","","","","","",""
"18.02.2025","Tuesday","0.47700","","","","","",""
"17.02.2025","Monday","0.47700","","","","","",""
"14.02.2025","Friday","0.47700","","","","","",""
"13.02.2025","Thursday","0.47700","","","","","",""
"12.02.2025","Wednesday","0.48500","","","","","",""
"10.02.2025","Monday","0.47700","","","","","",""
"07.02.2025","Friday","0.47700","","","","","",""
"06.02.2025","Thursday","0.47900","","","","","",""
"05.02.2025","Wednesday","0.47900","","","","","",""
"04.02.2025","Tuesday","0.47700","","","","","",""
"03.02.2025","Monday","0.47600","","","","","",""
"31.01.2025","Friday","0.47700","","","","","",""
"30.01.2025","Thursday","0.47700","","","","","",""
"29.01.2025","Wednesday","0.47700","","","","","",""
"28.01.2025","Tuesday","0.47700","","","","","",""
"27.01.2025","Monday","0.47600","","","","","",""
"24.01.2025","Friday","0.22700","","","","","",""
"23.01.2025","Thursday","0.22700","","","","","",""
"22.01.2025","Wednesday","0.22800","","","","","",""
"21.01.2025","Tuesday","0.22800","","","","","",""
"20.01.2025","Monday","0.22700","","","","","",""
"17.01.2025","Friday","0.22700","","","","","",""
"16.01.2025","Thursday","0.22700","","","","","",""
"15.01.2025","Wednesday","0.22700","","","","","",""
"14.01.2025","Tuesday","0.22700","","","","","",""
"10.01.2025","Friday","0.22700","","","","","",""
"09.01.2025","Thursday","0.23200","","","","","",""
"08.01.2025","Wednesday","0.23100","","","","","",""
"07.01.2025","Tuesday","0.22700","","","","","",""
"06.01.2025","Monday","0.22700","","","","","",""
"30.12.2024","Monday","0.22700","","","","","",""
"27.12.2024","Friday","0.22700","","","","","",""
"26.12.2024","Thursday","0.22700","","","","","",""
"25.12.2024","Wednesday","0.22700","","","","","",""
"23.12.2024","Monday","0.22700","","","","","",""
"20.12.2024","Friday","0.22700","","","","","",""
"19.12.2024","Thursday","0.22700","","","","","",""
"18.12.2024","Wednesday","0.22600","","","","","",""
"17.12.2024","Tuesday","0.22700","","","","","",""
"16.12.2024","Monday","0.22700","","","","","",""
"09.12.2024","Monday","0.22700","","","","","",""
"06.12.2024","Friday","0.22700","","","","","",""
"05.12.2024","Thursday","0.23200","","","","","",""
"04.12.2024","Wednesday","0.22700","","","","","",""
"03.12.2024","Tuesday","0.22700","","","","","",""
"02.12.2024","Monday","0.22700","","","","","",""
"29.11.2024","Friday","0.22700","","","","","",""
"28.11.2024","Thursday","0.22800","","","","","",""
"27.11.2024","Wednesday","0.22800","","","","","",""
"26.11.2024","Tuesday","0.22800","","","","","",""
"25.11.2024","Monday","0.22700","","","","","",""
"22.11.2024","Friday","0.22700","","","","","",""
"21.11.2024","Thursday","0.22700","","","","","",""
"20.11.2024","Wednesday","0.22700","","","","","",""
"19.11.2024","Tuesday","0.22700","","","","","",""
"18.11.2024","Monday","0.22700","","","","","",""
"15.11.2024","Friday","0.22700","","","","","",""
"14.11.2024","Thursday","0.22700","","","","","",""
"08.11.2024","Friday","0.22700","","","","","",""
"07.11.2024","Thursday","0.22700","","","","","",""
"06.11.2024","Wednesday","0.22700","","","","","",""
"05.11.2024","Tuesday","0.22700","","","","","",""
"01.11.2024","Friday","0.22700","","","","","",""
"31.10.2024","Thursday","0.22700","","","","","",""
"30.10.2024","Wednesday","0.22700","","","","","",""
"29.10.2024","Tuesday","0.22800","","","","","",""
"28.10.2024","Monday","0.22800","","","","","",""
"25.10.2024","Friday","0.22700","","","","","",""
"24.10.2024","Thursday","0.22700","","","","","",""
"23.10.2024","Wednesday","0.22700","","","","","",""
"22.10.2024","Tuesday","0.22700","","","","","",""
"21.10.2024","Monday","0.22700","","","","","",""
"18.10.2024","Friday","0.22700","","","","","",""
"17.10.2024","Thursday","0.22700","","","","","",""
"16.10.2024","Wednesday","0.22700","","","","","",""
"15.10.2024","Tuesday","0.22700","","","","","",""
"11.10.2024","Friday","0.22700","","","","","",""
"10.10.2024","Thursday","0.22700","","","","","",""
"09.10.2024","Wednesday","0.22700","","","","","",""
"08.10.2024","Tuesday","0.22700","","","","","",""
"07.10.2024","Monday","0.22700","","","","","",""
"04.10.2024","Friday","0.22700","","","","","",""
"03.10.2024","Thursday","0.22700","","","","","",""
"02.10.2024","Wednesday","0.22700","","","","","",""
"01.10.2024","Tuesday","0.22700","","","","","",""
"30.09.2024","Monday","0.22500","","","","","",""
"27.09.2024","Friday","0.22600","","","","","",""
"26.09.2024","Thursday","0.22600","","","","","",""
"25.09.2024","Wednesday","0.22600","","","","","",""
"24.09.2024","Tuesday","0.22600","","","","","",""
"20.09.2024","Friday","0.22600","","","","","",""
"19.09.2024","Thursday","0.22700","","","","","",""
"18.09.2024","Wednesday","0.22800","","","","","",""
"17.09.2024","Tuesday","0.22800","","","","","",""
"13.09.2024","Friday","0.22700","","","","","",""
"12.09.2024","Thursday","0.22900","","","","","",""
"11.09.2024","Wednesday","0.22700","","","","","",""
"10.09.2024","Tuesday","0.22800","","","","","",""
"09.09.2024","Monday","0.22700","","","","","",""
"06.09.2024","Friday","0.22700","","","","","",""
"03.09.2024","Tuesday","0.22700","","","","","",""
"02.09.2024","Monday","0.22700","","","","","",""
"30.08.2024","Friday","0.22700","","","","","",""
"29.08.2024","Thursday","0.22800","","","","","",""
"28.08.2024","Wednesday","0.22700","","","","","",""
"27.08.2024","Tuesday","0.22700","","","","","",""
"26.08.2024","Monday","0.22700","","","","","",""
"23.08.2024","Friday","0.22700","","","","","",""
"22.08.2024","Thursday","0.22700","","","","","",""
"21.08.2024","Wednesday","0.22700","","","","","",""
"20.08.2024","Tuesday","0.22700","","","","","",""
"19.08.2024","Monday","0.22700","","","","","",""
"16.08.2024","Friday","0.22700","","","","","",""
"15.08.2024","Thursday","0.22700","","","","","",""
"14.08.2024","Wednesday","0.22800","","","","","",""
"13.08.2024","Tuesday","0.22700","","","","","",""
"09.08.2024","Friday","0.22700","","","","","",""
"08.08.2024","Thursday","0.22700","","","","","",""
"30.07.2024","Tuesday","0.07700","","","","","",""
